category	cohort	sample	file_type	key	url	size_bytes	last_modified
sample	Mtb151	R23571	lr_full_depth_crai	samples/Mtb151/R23571/R23571.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23571/R23571.LR.AlnToH37Rv.primary_only.cram.crai	2268	2026-07-20T14:09:10Z
sample	Mtb151	R23571	lr_full_depth_cram	samples/Mtb151/R23571/R23571.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23571/R23571.LR.AlnToH37Rv.primary_only.cram	266797378	2026-07-20T14:09:09Z
sample	Mtb151	R23571	asm_crai	samples/Mtb151/R23571/R23571.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23571/R23571.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T14:09:12Z
sample	Mtb151	R23571	asm_cram	samples/Mtb151/R23571/R23571.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23571/R23571.mm2.AsmToH37Rv.asm10.cram	744952	2026-07-20T14:09:11Z
sample	Mtb151	R23887	lr_100x_crai	samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.Subsample100x.cram.crai	1840	2026-07-23T17:03:35Z
sample	Mtb151	R23887	lr_100x_cram	samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.Subsample100x.cram	219371590	2026-07-23T17:03:32Z
sample	Mtb151	R23887	lr_full_depth_crai	samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.primary_only.cram.crai	2744	2026-07-20T14:09:20Z
sample	Mtb151	R23887	lr_full_depth_cram	samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23887/R23887.LR.AlnToH37Rv.primary_only.cram	326462740	2026-07-20T14:09:18Z
sample	Mtb151	R23887	asm_crai	samples/Mtb151/R23887/R23887.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23887/R23887.mm2.AsmToH37Rv.asm10.cram.crai	67	2026-07-20T14:09:23Z
sample	Mtb151	R23887	asm_cram	samples/Mtb151/R23887/R23887.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R23887/R23887.mm2.AsmToH37Rv.asm10.cram	901453	2026-07-20T14:09:21Z
